182,1391,-841
162,1412,-841
160,1407,-861
175,1398,-848
162,1405,-881
192,1405,-858
222,1422,-851
317,1448,-818
393,1425,-831
481,1347,-868
558,1218,-908
700,1092,-946
837,986,-963
935,891,-946
1023,780,-938
1093,680,-901
1161,580,-871
1206,515,-831
1226,412,-831
1218,296,-826
1201,177,-856
1156,56,-848
1123,-32,-841
1016,-76,-856
996,-197,-841
1003,-321,-780
947,-378,-765
902,-466,-777
885,-597,-695
840,-623,-692
705,-587,-785
531,-568,-826
433,-566,-831
346,-515,-878
255,-453,-913
267,-471,-918
215,-396,-967
135,-378,-963
45,-362,-958
-30,-288,-977
-55,-288,-956
-117,-306,-938
-210,-233,-936
-328,-126,-956
-393,71,-970
-408,156,-977
-448,151,-972
-506,221,-941
-496,282,-936
-451,406,-948
-508,517,-918
-416,665,-958
-408,871,-967
-323,1043,-933
-210,1010,-982
-127,1007,-1022
5,1218,-943
192,1405,-891
305,1422,-876
302,1391,-926
240,1376,-911
-5,1471,-833
-152,1432,-821
-378,1252,-831
-508,1097,-802
-536,920,-838
-680,670,-841
-571,525,-911
-523,383,-918
-536,170,-933
-538,-12,-878
-368,-208,-906
-142,-386,-898
117,-483,-876
317,-551,-836
391,-571,-851
518,-541,-836
655,-481,-883
842,-476,-816
922,-301,-866
1046,-238,-833
1123,-170,-785
1201,-128,-770
1337,20,-707
1310,280,-795
1412,403,-742
1362,670,-790
1086,963,-898
782,1203,-901
702,1255,-916
628,1316,-888
536,1325,-896
411,1272,-943
230,1221,-987
145,1136,-1010
62,1136,-982
-35,1097,-997
-230,1005,-936
-418,942,-901
-413,873,-926
-466,662,-928
-571,427,-921
-603,255,-903
-578,195,-918
-556,25,-901
-403,-61,-923
-331,-105,-931
-187,-41,-990
-127,-110,-987
-237,-133,-967
-192,-213,-975
-190,-102,-1012
-177,-180,-1010
-97,-236,-961
170,-335,-963
333,-408,-928
336,-365,-951
403,-301,-1002
553,-161,-1032
725,76,-1062
872,326,-1025
947,631,-1007
900,1017,-926
685,1252,-901
363,1440,-861
-80,1500,-757
-346,1272,-833
-441,1080,-858
-486,917,-878
-478,770,-913
-453,703,-933
-323,1015,-901
-177,1468,-762
-100,1597,-705
170,1572,-785
588,1466,-831
830,1345,-838
993,1066,-873
1121,898,-873
1148,641,-873
1108,381,-913
1066,197,-913
1038,-68,-896
895,-330,-858
830,-432,-833
810,-420,-828
660,-517,-841
463,-456,-873
240,-296,-958
35,-161,-1022
-27,37,-1062
-237,200,-1055
-351,415,-1027
-403,553,-992
-433,615,-961
-416,708,-943
-295,793,-990
-237,891,-972
-212,945,-995
-202,1167,-911
-35,1398,-866
265,1500,-816
436,1468,-843
660,1337,-846
835,1201,-876
915,1082,-888
932,971,-928
955,842,-970
981,775,-970
1081,646,-936
1203,447,-891
1213,123,-823
993,-95,-886
750,-228,-923
568,-313,-943
378,-378,-970
120,-211,-1025
-75,-61,-1032
-217,161,-1030
-245,352,-1032
-341,573,-985
-300,845,-953
-285,995,-921
-265,745,-1007
-255,830,-992
-127,1022,-961
72,1151,-970
287,1118,-967
473,966,-1005
623,860,-992
710,750,-1005
812,713,-992
877,697,-1012
937,721,-975
1001,595,-956
1033,522,-982
1093,313,-898
1131,126,-866
920,-51,-918
621,-187,-977
272,-208,-1027
90,-158,-1037
45,-5,-1057
17,153,-1065
10,306,-1075
-225,403,-1022
-315,558,-980
-300,670,-987
-257,747,-985
-220,733,-1030
-282,662,-1012
-413,733,-951
-275,912,-946
-122,1002,-963
105,1082,-963
315,1075,-985
438,1022,-1020
573,910,-1042
662,777,-1055
707,638,-1045
717,561,-1055
780,548,-1027
790,736,-1020
702,1015,-958
533,1257,-896
267,1422,-876
-85,1440,-816
-421,1226,-808
-561,857,-833
-603,590,-853
-593,308,-871
-551,-120,-831
-438,-321,-813
-312,-330,-868
-250,-360,-888
-197,-335,-893
-117,-282,-943
-57,-221,-982
122,-252,-975
323,-161,-1015
546,-85,-1015
885,76,-980
1041,430,-958
1023,716,-953
935,922,-926
852,1082,-916
715,1221,-868
596,1262,-888
307,1301,-926
187,1141,-980
-132,1053,-975
-232,961,-967
-260,945,-948
-371,765,-980
-361,525,-980
-290,420,-1015
-245,277,-1025
-217,131,-1045
-132,41,-1055
-165,51,-1045
-170,2,-1035
-152,-117,-1000
-5,-255,-958
167,-383,-918
285,-365,-938
456,-318,-956
611,-175,-1015
767,143,-1057
870,378,-1032
1001,607,-990
963,857,-938
837,1107,-913
665,1237,-916
310,1233,-958
27,1116,-985
-225,1002,-982
-423,801,-951
-513,615,-918
-503,450,-938
-428,453,-963
-426,393,-961
-403,197,-958
-356,73,-987
-317,-15,-982
-280,-90,-975
-252,-92,-967
-237,-123,-926
-305,-128,-928
-431,-37,-893
